"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.29.45","142.251.43.106","UDP","71","64926  >  443 Len=29"
"2","0.066616","142.251.43.106","192.168.29.45","UDP","66","443  >  64926 Len=24"
"3","0.092018","192.168.29.45","13.107.5.93","TCP","54","37046  >  443 [FIN, ACK] Seq=1 Ack=1 Win=252 Len=0"
"4","0.095915","192.168.29.45","192.168.29.1","TCP","66","37052  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"5","0.096097","192.168.29.45","192.168.29.1","TCP","66","37053  >  53 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"6","0.100936","192.168.29.1","192.168.29.45","TCP","66","53  >  37052 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=64"
"7","0.101038","192.168.29.45","192.168.29.1","TCP","54","37052  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"8","0.101183","192.168.29.45","192.168.29.1","TCP","56","37052  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 9]"
"9","0.101237","192.168.29.45","192.168.29.1","DNS","91","Standard query 0x4eee A clients4.google.com"
"10","0.101601","192.168.29.1","192.168.29.45","TCP","66","53  >  37053 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=64"
"11","0.101677","192.168.29.45","192.168.29.1","TCP","54","37053  >  53 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"12","0.101764","192.168.29.45","192.168.29.1","TCP","56","37053  >  53 [PSH, ACK] Seq=1 Ack=1 Win=65280 Len=2 [TCP PDU reassembled in 13]"
"13","0.101808","192.168.29.45","192.168.29.1","DNS","91","Standard query 0xd5ff HTTPS clients4.google.com"
"14","0.121485","13.107.5.93","192.168.29.45","TCP","54","443  >  37046 [FIN, ACK] Seq=1 Ack=2 Win=16385 Len=0"
"15","0.121532","192.168.29.45","13.107.5.93","TCP","54","37046  >  443 [ACK] Seq=2 Ack=2 Win=252 Len=0"
"16","0.142503","192.168.29.1","192.168.29.45","TCP","54","53  >  37052 [ACK] Seq=1 Ack=40 Win=29248 Len=0"
"17","0.143034","192.168.29.1","192.168.29.45","TCP","55","53  >  37052 [PSH, ACK] Seq=1 Ack=40 Win=29248 Len=1 [TCP PDU reassembled in 21]"
"18","0.163976","192.168.29.1","192.168.29.45","TCP","54","53  >  37053 [ACK] Seq=1 Ack=40 Win=29248 Len=0"
"19","0.184313","192.168.29.1","192.168.29.45","TCP","54","[TCP Keep-Alive] 53  >  37052 [ACK] Seq=1 Ack=3 Win=29248 Len=0"
"20","0.184355","192.168.29.45","192.168.29.1","TCP","54","37052  >  53 [ACK] Seq=40 Ack=2 Win=65280 Len=0"
"21","0.186586","192.168.29.1","192.168.29.45","DNS","142","Standard query response 0x4eee A clients4.google.com CNAME clients.l.google.com A 142.250.206.110"
"22","0.186635","192.168.29.45","192.168.29.1","TCP","54","37052  >  53 [ACK] Seq=40 Ack=90 Win=65280 Len=0"
"23","0.186756","192.168.29.45","192.168.29.1","TCP","54","37052  >  53 [FIN, ACK] Seq=40 Ack=90 Win=65280 Len=0"
"24","0.188912","192.168.29.1","192.168.29.45","TCP","54","53  >  37052 [FIN, ACK] Seq=90 Ack=41 Win=29248 Len=0"
"25","0.188938","192.168.29.45","192.168.29.1","TCP","54","37052  >  53 [ACK] Seq=41 Ack=91 Win=65280 Len=0"
"26","0.198794","192.168.29.1","192.168.29.45","TCP","55","53  >  37053 [PSH, ACK] Seq=1 Ack=40 Win=29248 Len=1 [TCP PDU reassembled in 29]"
"27","0.208997","192.168.29.1","192.168.29.45","TCP","54","[TCP Keep-Alive] 53  >  37053 [ACK] Seq=1 Ack=3 Win=29248 Len=0"
"28","0.209027","192.168.29.45","192.168.29.1","TCP","54","37053  >  53 [ACK] Seq=40 Ack=2 Win=65280 Len=0"
"29","0.211394","192.168.29.1","192.168.29.45","DNS","166","Standard query response 0xd5ff HTTPS clients4.google.com CNAME clients.l.google.com SOA ns1.google.com"
"30","0.211436","192.168.29.45","192.168.29.1","TCP","54","37053  >  53 [ACK] Seq=40 Ack=114 Win=65280 Len=0"
"31","0.211801","192.168.29.45","192.168.29.1","TCP","54","37053  >  53 [FIN, ACK] Seq=40 Ack=114 Win=65280 Len=0"
"32","0.212517","192.168.29.45","142.250.206.110","QUIC","1292","Initial, DCID=a72c3fa01150c775, PKN: 1, CRYPTO, CRYPTO, PING, PING, CRYPTO, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO"
"33","0.212757","192.168.29.45","142.250.206.110","QUIC","1292","Initial, DCID=a72c3fa01150c775, PKN: 2, PADDING, CRYPTO, PING, PING, CRYPTO, CRYPTO, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO"
"34","0.214798","192.168.29.1","192.168.29.45","TCP","54","53  >  37053 [FIN, ACK] Seq=114 Ack=41 Win=29248 Len=0"
"35","0.214863","192.168.29.45","192.168.29.1","TCP","54","37053  >  53 [ACK] Seq=41 Ack=115 Win=65280 Len=0"
"36","0.215275","192.168.29.45","142.250.206.110","QUIC","121","0-RTT, DCID=a72c3fa01150c775"
"37","0.257292","142.250.206.110","192.168.29.45","QUIC","82","Initial, SCID=e72c3fa01150c775, PKN: 1, ACK"
"38","0.257786","142.250.206.110","192.168.29.45","QUIC","1292","Initial, SCID=e72c3fa01150c775, PKN: 2, ACK, PADDING"
"39","0.306548","192.168.29.45","142.250.206.110","QUIC","1292","Initial, DCID=e72c3fa01150c775, PKN: 5, PADDING, PING, PADDING"
"40","0.327145","142.250.206.110","192.168.29.45","QUIC","1292","Initial, SCID=e72c3fa01150c775, PKN: 3, CRYPTO, PADDING"
"41","0.327632","142.250.206.110","192.168.29.45","QUIC","353","Protected Payload (KP0)"
"42","0.328075","142.250.206.110","192.168.29.45","QUIC","981","Protected Payload (KP0)"
"43","0.328545","142.250.206.110","192.168.29.45","QUIC","78","Protected Payload (KP0)"
"44","0.328760","192.168.29.45","142.250.206.110","QUIC","1292","Initial, DCID=e72c3fa01150c775, PKN: 6, ACK, PADDING"
"45","0.328894","142.250.206.110","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"46","0.329573","192.168.29.45","142.250.206.110","QUIC","121","Handshake, DCID=e72c3fa01150c775"
"47","0.329826","192.168.29.45","142.250.206.110","QUIC","73","Protected Payload (KP0), DCID=e72c3fa01150c775"
"48","0.330455","192.168.29.45","142.250.206.110","QUIC","1288","Protected Payload (KP0), DCID=e72c3fa01150c775"
"49","0.330564","192.168.29.45","142.250.206.110","QUIC","982","Protected Payload (KP0), DCID=e72c3fa01150c775"
"50","0.339264","192.168.29.45","142.251.220.37","TCP","54","37049  >  443 [FIN, ACK] Seq=1 Ack=1 Win=255 Len=0"
"51","0.347819","142.250.206.110","192.168.29.45","QUIC","1292","Initial, SCID=e72c3fa01150c775, PKN: 9, ACK, CRYPTO, PADDING"
"52","0.368533","142.251.220.37","192.168.29.45","TCP","54","443  >  37049 [FIN, ACK] Seq=1 Ack=2 Win=1027 Len=0"
"53","0.368578","192.168.29.45","142.251.220.37","TCP","54","37049  >  443 [ACK] Seq=2 Ack=2 Win=255 Len=0"
"54","0.370010","142.250.206.110","192.168.29.45","QUIC","162","Protected Payload (KP0)"
"55","0.370169","192.168.29.45","142.250.206.110","QUIC","76","Protected Payload (KP0), DCID=e72c3fa01150c775"
"56","0.373821","142.250.206.110","192.168.29.45","QUIC","71","Protected Payload (KP0)"
"57","0.374096","192.168.29.45","142.250.206.110","QUIC","75","Protected Payload (KP0), DCID=e72c3fa01150c775"
"58","0.375037","142.250.206.110","192.168.29.45","QUIC","67","Protected Payload (KP0)"
"59","0.589009","192.168.29.45","142.250.206.110","QUIC","71","Protected Payload (KP0), DCID=e72c3fa01150c775"
"60","0.654926","142.250.206.110","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"61","0.658857","142.250.206.110","192.168.29.45","QUIC","707","Protected Payload (KP0)"
"62","0.663733","142.250.206.110","192.168.29.45","QUIC","303","Protected Payload (KP0)"
"63","0.664144","192.168.29.45","142.250.206.110","QUIC","77","Protected Payload (KP0), DCID=e72c3fa01150c775"
"64","0.727565","142.250.206.110","192.168.29.45","QUIC","66","Protected Payload (KP0)"
"65","1.111771","142.250.192.42","192.168.29.45","UDP","120","443  >  61840 Len=78"
"66","1.133807","192.168.29.45","142.250.192.42","UDP","75","61840  >  443 Len=33"
"67","1.322054","192.168.29.45","142.250.192.42","UDP","71","61840  >  443 Len=29"
"68","1.357208","142.250.192.42","192.168.29.45","UDP","67","443  >  61840 Len=25"
"69","1.560269","192.168.29.45","142.250.192.42","UDP","71","61840  >  443 Len=29"
"70","1.596274","142.250.192.42","192.168.29.45","UDP","67","443  >  61840 Len=25"
"71","1.812459","192.168.29.45","142.250.192.42","UDP","71","61840  >  443 Len=29"
"72","1.850256","142.250.192.42","192.168.29.45","UDP","67","443  >  61840 Len=25"
"73","2.063092","192.168.29.45","142.250.192.42","UDP","71","61840  >  443 Len=29"
"74","2.097738","142.250.192.42","192.168.29.45","UDP","67","443  >  61840 Len=25"
"75","2.310877","192.168.29.45","142.250.192.42","UDP","71","61840  >  443 Len=29"
"76","2.346178","142.250.192.42","192.168.29.45","UDP","67","443  >  61840 Len=25"
